time;ahrsDataKalman.angData[0];ahrsDataKalman.angData[1];ahrsDataKalman.angData[2];ahrsDataMahony.angData[0];ahrsDataMahony.angData[1];ahrsDataMahony.angData[2]
2024-09-08-01:09:18.002271;-0.009007568359375107;-0.48372558593750004;0.0;-0.007091064453125018;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.003048;-0.007091064453125018;-0.4848754882812498;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.003754;-0.006516113281250124;-0.48372558593750004;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.004579;-0.006899414062500053;-0.4825756835937498;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.005231;-0.006899414062500053;-0.48430053710937493;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.005865;-0.006516113281250124;-0.48315063476562514;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.006921;-0.006516113281250124;-0.48545043945312516;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.008358;-0.007091064453125018;-0.4844921874999999;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.009731;-0.007857666015624876;-0.48468383789062486;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.011324;-0.007282714843749982;-0.48506713867187523;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.012272;-0.007091064453125018;-0.48602539062500005;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.013240;-0.005941162109374787;-0.486217041015625;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.013960;-0.00632446289062516;-0.48545043945312516;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.015353;-0.006516113281250124;-0.4858337402343751;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.017980;-0.006707763671875089;-0.4856420898437501;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.019645;-0.005174560546874929;-0.4873669433593748;0.0;-0.006899414062500053;-0.48640869140625;-0.007666015624999911;
2024-09-08-01:09:18.024071;-0.003641357421875213;-0.4892834472656249;0.0;-0.006899414062500053;-0.48660034179687495;-0.007666015624999911;
2024-09-08-01:09:18.026697;0.0022998046875000178;-0.49790771484375007;0.0;-0.006707763671875089;-0.48660034179687495;-0.007666015624999911;
2024-09-08-01:09:18.028373;0.0024914550781249822;-0.5134313964843749;0.0;-0.006707763671875089;-0.4867919921874999;-0.007666015624999911;
2024-09-08-01:09:18.030251;0.007282714843749982;-0.5287634277343751;0.0;-0.006516113281250124;-0.4869836425781249;-0.007474365234374947;
2024-09-08-01:09:18.032324;0.013798828125000107;-0.5350878906249998;0.0;-0.006132812500000195;-0.48717529296874984;-0.007282714843749982;
2024-09-08-01:09:18.034431;0.00038330078124992895;-0.5350878906249998;0.0;-0.006132812500000195;-0.4869836425781249;-0.007091064453125018;
2024-09-08-01:09:18.036762;-0.013990478515625071;-0.5283801269531252;0.0;-0.006132812500000195;-0.4869836425781249;-0.006899414062500053;
2024-09-08-01:09:18.038679;-0.03296386718750011;-0.5220556640625;0.0;-0.006516113281250124;-0.48660034179687495;-0.006707763671875089;
2024-09-08-01:09:18.040854;-0.04906249999999979;-0.510556640625;0.0;-0.006899414062500053;-0.486217041015625;-0.00632446289062516;
2024-09-08-01:09:18.042947;-0.060561523437499876;-0.5023156738281251;0.0;-0.007091064453125018;-0.48602539062500005;-0.00632446289062516;
2024-09-08-01:09:18.045155;-0.0636279296875002;-0.5086401367187499;0.0;-0.007282714843749982;-0.4858337402343751;-0.006132812500000195;
2024-09-08-01:09:18.047199;-0.054045410156250195;-0.49273315429687514;0.0;-0.007474365234374947;-0.48545043945312516;-0.005941162109374787;
2024-09-08-01:09:18.049304;-0.04887084960937482;-0.509981689453125;0.0;-0.007474365234374947;-0.48545043945312516;-0.005941162109374787;
2024-09-08-01:09:18.051569;-0.03909667968749986;-0.5360461425781251;0.0;-0.007282714843749982;-0.48545043945312516;-0.005941162109374787;
2024-09-08-01:09:18.053508;-0.03468872070312479;-0.5433288574218751;0.0;-0.006899414062500053;-0.48506713867187523;-0.005749511718749822;
2024-09-08-01:09:18.056151;-0.03890502929687489;-0.543712158203125;0.0;-0.006707763671875089;-0.4848754882812498;-0.005749511718749822;
2024-09-08-01:09:18.057863;-0.048104248046874964;-0.5467785644531249;0.0;-0.00632446289062516;-0.4844921874999999;-0.005557861328124858;
2024-09-08-01:09:18.059893;-0.05347045898437486;-0.5362377929687501;0.0;-0.006132812500000195;-0.483917236328125;-0.005366210937499893;
2024-09-08-01:09:18.061994;-0.05193725585937514;-0.5283801269531252;0.0;-0.005941162109374787;-0.48353393554687507;-0.005174560546874929;
2024-09-08-01:09:18.064685;-0.0676525878906249;-0.515347900390625;0.0;-0.005941162109374787;-0.4827673339843752;-0.0049829101562499645;
